,raw_price,raw_volume,proc_price,proc_volume
2015-09-17 00:00:00+00:00,68.0,,214.0,
2015-09-18 00:00:00+00:00,67.0,,208.0,
2015-09-19 00:00:00+00:00,68.0,,213.0,
2015-09-20 00:00:00+00:00,68.0,,210.0,
2015-09-21 00:00:00+00:00,67.0,,207.0,
2015-09-22 00:00:00+00:00,67.0,,201.0,
2015-09-23 00:00:00+00:00,67.0,,204.0,
2015-09-24 00:00:00+00:00,67.0,,207.0,
2015-09-25 00:00:00+00:00,66.0,,211.0,
2015-09-26 00:00:00+00:00,67.0,,218.0,
2015-09-27 00:00:00+00:00,67.0,,218.0,
2015-09-28 00:00:00+00:00,70.0,,225.0,
2015-09-29 00:00:00+00:00,73.0,,221.0,
2015-09-30 00:00:00+00:00,76.0,,218.0,
2015-10-01 00:00:00+00:00,74.0,,219.0,
2015-10-02 00:00:00+00:00,74.0,,219.0,
2015-10-03 00:00:00+00:00,74.0,,219.0,
2015-10-06 00:00:00+00:00,77.0,,218.0,
2015-10-07 00:00:00+00:00,78.0,,222.0,
2015-10-08 00:00:00+00:00,80.0,,216.0,
2015-10-09 00:00:00+00:00,80.0,,208.0,
2015-10-10 00:00:00+00:00,83.0,,209.0,
2015-10-11 00:00:00+00:00,87.0,,202.0,
2015-10-12 00:00:00+00:00,84.0,,211.0,
2015-10-13 00:00:00+00:00,81.0,,221.0,
2015-10-14 00:00:00+00:00,81.0,,231.0,
2015-10-15 00:00:00+00:00,79.0,,237.0,
2015-10-16 00:00:00+00:00,77.0,,235.0,
2015-10-17 00:00:00+00:00,79.0,,226.0,
2015-10-18 00:00:00+00:00,77.0,,220.0,
2015-10-19 00:00:00+00:00,74.0,,216.0,
2015-10-20 00:00:00+00:00,72.0,,219.0,
2015-10-21 00:00:00+00:00,72.0,,227.0,
2015-10-22 00:00:00+00:00,72.0,,227.0,
2015-10-23 00:00:00+00:00,72.0,,248.0,
2015-10-24 00:00:00+00:00,73.0,,245.0,
2015-10-25 00:00:00+00:00,75.0,,245.0,
2015-10-26 00:00:00+00:00,73.0,,249.0,
2015-10-27 00:00:00+00:00,70.0,,249.0,
2015-10-28 00:00:00+00:00,68.0,,258.0,
2015-10-29 00:00:00+00:00,68.0,,258.0,
2015-10-30 00:00:00+00:00,68.0,,255.0,
2015-10-31 00:00:00+00:00,68.0,,256.0,
2015-11-01 00:00:00+00:00,68.0,,268.0,
2015-11-02 00:00:00+00:00,66.0,,280.0,
2015-11-03 00:00:00+00:00,67.0,,288.0,
2015-11-04 00:00:00+00:00,69.0,,285.0,
2015-11-05 00:00:00+00:00,71.0,,291.0,
2015-11-06 00:00:00+00:00,70.0,,288.0,
2015-11-07 00:00:00+00:00,70.0,,287.0,
2015-11-08 00:00:00+00:00,69.0,,278.0,
2015-11-09 00:00:00+00:00,68.0,,267.0,
2015-11-10 00:00:00+00:00,69.0,,259.0,
2015-11-11 00:00:00+00:00,69.0,,248.0,
2015-11-12 00:00:00+00:00,70.0,,245.0,
2015-11-13 00:00:00+00:00,72.0,,246.0,
2015-11-14 00:00:00+00:00,73.0,,255.0,
2015-11-15 00:00:00+00:00,73.0,,266.0,
2015-11-16 00:00:00+00:00,74.0,,263.0,
2015-11-17 00:00:00+00:00,76.0,,257.0,
2015-11-18 00:00:00+00:00,79.0,,253.0,
2015-11-19 00:00:00+00:00,83.0,,263.0,
2015-11-20 00:00:00+00:00,88.0,,273.0,
2015-11-21 00:00:00+00:00,90.0,,278.0,
